check_item,category,file_path,status,sha256,required,notes
analysis scripts or code,structure,code/phase1_run_reproduction.R,present,183b54b507d4b07153651f0db1d398f43387d84d4694f1ba75dd836bbffd3ad9,true,
analysis scripts or code,structure,code/phase2_clinical_independence_analysis.R,present,098c6af636bb52015081f9bbe57b355b0e1213caa7927b7510d61268b5e5a844,true,
analysis scripts or code,structure,code/phase2b_clinical_figure_fix_mutation_audit.R,present,93849289bd9d8637b2c85beb3ddda1f5f387d565760858aec2e1dbf266216b54,true,
analysis scripts or code,structure,code/phase3A_150_ml_framework.R,present,91f0aff91fcdd74393f1dc6fce9484dd48ce753ad6d73a397c1c87f06e99a586,true,
analysis scripts or code,structure,code/phase3A_fix_150_ml_framework.R,present,277f295fd3f87d7d97703a6c109ce322684285e7581a9064a1af48d9741f718e,true,
analysis scripts or code,structure,code/phase3A_fix_auc_diagnostic.R,present,8cd067620ebebf7376ceaaa48417e8c22a05cb341b603c378eadf087e0b8036c,true,
analysis scripts or code,structure,code/phase3A_PPI_mini_update.R,present,e7415da0b67005d0f21cd76782313d497e9ac4479ba1dc8b3e9a1278c9d565d7,true,
analysis scripts or code,structure,code/phase3B_external_validation_update.R,present,12329af5adcd96b88a7593fa0352aef424bd07b18e680fc740430c40f8491749,true,
analysis scripts or code,structure,code/phase3B_fix_interpretability_ML.R,present,32f8907b95b43d03ea185140f546b17e51bae0f176576816125d95cc38b5c393,true,
analysis scripts or code,structure,code/phase3B_inspect_inputs.R,present,eeabc03a1bce96abcd9536a6b03d3747a17a6cc72813906347c50af2184f4e27,true,
analysis scripts or code,structure,code/phase3B_PRFT_state_ML.R,present,d771b314561d1320aeed4e8c2a86fe276f004649fb21bbe25cc9c90ee6569fce,true,
analysis scripts or code,structure,code/phase4_fix_singlecell_umap_audit.R,present,ea03e20f3978384861c10f90e0861aa4c5ce5cf6a9b0cc39f02680f1e795ffb4,true,
analysis scripts or code,structure,code/phase4_singlecell_validation_consolidation.R,present,8d7b5af4fbd88e1651ac012d1b6061b14db5b63a377abbcb80c1c7f89201be73,true,
analysis scripts or code,structure,code/phase4b_patient_level_robustness.R,present,7179bc46d30b4625ffe42ab52758bd5f98b3a2e3023726b2ef0896f5e1a22261,true,
analysis scripts or code,structure,code/phase5_PPI_network_analysis.R,present,a545a5361c2ad1810b39ac88c97c423edc929f09d10835a768671ef6fb77f5df,true,
analysis scripts or code,structure,code/phase6_external_validation_GSE6891_GSE14468.R,present,1fbfc2e3201c9f191327f7b9ab89dfd8cc432a5069917d31e2d0d0d977cc7fa9,true,
analysis scripts or code,structure,code/phase7_bulk_immune_myeloid_pathway_analysis.R,present,ca3c0236cdf4e2585aa34bf7b99fe504b7f046fd07f0663053db628d7a04ec5f,true,
analysis scripts or code,structure,code/phase7_cleanup_bulk_immune_module.R,present,9c5d3762eb9de060765e37630114ffe061cd2b137b33b38e395a3593a930aa85,true,
analysis scripts or code,structure,code/phase8A_AS_input_audit.R,present,e3754a5d46293f9a62958edaa6775df3d8c66b610da12bf83092985416e9eb0d,true,
analysis scripts or code,structure,code/phase9_manuscript_integration.py,present,8e6b8cd1ad82572f3e1ecaf22507f3df7ce86edbdaeecfbeba5264e51d396e35,true,
analysis scripts or code,structure,code/plot_label_utils.R,present,252aee09b6cd6f690af512603a48207c5f4b4e85cad1caef1e8b0f4e51403b9b,true,
processed data,structure,,missing,,false,No data directory in v2 root; derived results may carry traceability instead.
results or validation summaries,structure,results/AS_missing_input_audit.csv,present,0b6ceec40af886e451f5b46c9f9e15273777e3ed10ee9a51cbd858201aa35c6c,true,
results or validation summaries,structure,results/beataml_drug_sensitivity_summary.csv,present,86b9f2f14ce5c29ebb0bdaedfdee4de47d049a928fef5e7d5882ca42122a5345,true,
results or validation summaries,structure,results/clinical_multivariable_cox_models.csv,present,10db115239f56be7829c72beeaca9e8893032747e7e22a8c764869c74165a917,true,
results or validation summaries,structure,results/external_validation_main_results.csv,present,d248ca7947263cf5a6f556748a5d2696c07f68c2bc49ff67b9dc3f1b36f34643,true,
results or validation summaries,structure,results/Figure2_values_final_truth_table.csv,present,dbbf48b4208be9ce728e7159ffb7afca46ce8e01f40840b548a146aa9945bfba,true,
results or validation summaries,structure,results/GEO_validation_summary.csv,present,8bf52d5525fc147e7c7110fa0e3865be405c98bc781756544dae6753bedf56e2,true,
results or validation summaries,structure,results/GSE6891_GSE14468_exclusion_audit.csv,present,2c13af145d04c8db2c26f8d0b39cbcef80d80c5e06514ff3d77b5c96e18d6057,true,
results or validation summaries,structure,results/installed_R_packages_initial.csv,present,bfe2ab346b0d6222726066e035c11e9165fe0d5ec80ccab14aa10c50ca93e0f7,true,
results or validation summaries,structure,results/Phase11_final_data_audit_summary.txt,present,e53576b82ee3a340de2bc7d07146ab901da1f4dd2a9cf25202fdc524371822be,true,
results or validation summaries,structure,results/Phase27I_blocker_update_CN.csv,present,fac5852fd3b10cf1b7e21ebab34af954cee0d96022a73ee9d35e7e7cd2db4acf,true,
results or validation summaries,structure,results/PPI_hub_genes.csv,present,a3d80952990262b5533052484599f53f7c78ae4f92d52f991fd206f27a2e8db5,true,
results or validation summaries,structure,results/sample_flow_summary.csv,present,261a984d670f35092be8dabcb04abf20eb312f80481e65f130250a326fb8ca46,true,
results or validation summaries,structure,results/sc_signature_gene_coverage.csv,present,e16a2cc4b7a438b0d926d442321132cafc5009fa8fe61602da9e7bc50b8173fa,true,
results or validation summaries,structure,results/singlecell_patient_level_summary.csv,present,850dd8727425c732a99ccfd9b97e0985d6e7e2d92c00a97028670e281b87acdd,true,
results or validation summaries,structure,results/state_recognition_SHAP_features.csv,present,c114ce0cef45057d041202cef41bc98aa3166d5cca93551765274fda0bc5d7d7,true,
results or validation summaries,structure,results/WGCNA_PRFT_positive_modules.csv,present,ff07c9212f5ab5454056e37fc06b9c69f03329a4b586e1ee2d4ec1d2957b3ba0,true,
final figures,structure,figures/final/Figure_2_final_manual_assembled_no_title_v3.pdf,present,585e19e6d70e1a7ee481e36839e5fecb9c7906274ca426cd7f6e92cc5e963dbd,true,
final figures,structure,figures/final/Figure_7_final_manual_assembled_no_title_v2.pdf,present,d9d992b98bf4cfec9051bf438fc839a3e7a3be047a3428509dc1ecee06f65f41,true,
final figures,structure,figures/final/Supplementary_Figure_S1_final_manual_assembled.pdf,present,526de027dd805c99911bf05b0187f11c9701704f78a50d08b57ed39bcbd718de,true,
final figures,structure,figures/main/Figure3_final.pdf,present,29026c4a1359091e5aa8b3dff432014b3ed2dab112e8fea20336cbd7d29f446f,true,
final figures,structure,figures/main/Figure3_final.png,present,f9812602d69d20398ee943e65a2dc6962f8b9dee3f8339bce67836e4945505ed,true,
final figures,structure,figures/main/Figure3_final.tiff,present,3b0777bbc73d10eb6565cbd0ee9b19cfba5e6e696a333db527b471150b8515f0,true,
final figures,structure,figures/main/Figure4_final.pdf,present,24f5b8defecdf53db51f314db14b7c88e36f004a94a79d98e857e10e27aefbe9,true,
final figures,structure,figures/main/Figure4_final.png,present,5e9d8c05b8db634c349b47fa243b54a0862cec08677d3f815cbc728bcdc3516a,true,
final figures,structure,figures/main/Figure4_final.tiff,present,0f41e8b224d17e42618213f9aab3f2889f4efc2de2ab7762b5d8224bbcd184dc,true,
final figures,structure,figures/main/Figure5_final.pdf,present,b91dafb251216bf173931c1f5c86c311d9057e5ea52b61d993da2b7e2a645300,true,
final figures,structure,figures/main/Figure5_final.png,present,59b91945e2ba6696202f7e9a816782743adab7196970c7da686539ece1510025,true,
final figures,structure,figures/main/Figure5_final.tiff,present,209879a41614aa1c070b93a84f0bfde5aa95f2fec98aeef0d75d2e4be9efe6f2,true,
final figures,structure,figures/main/Figure6_final.pdf,present,972974420542855a9d80d4c39a85370482fb83f126a5344e91241662b1f59d7e,true,
final figures,structure,figures/main/Figure6_final.png,present,28028e6661c99ad18857fce8d72c2f2ee06224dff190208b2ab5dd309b530ceb,true,
final figures,structure,figures/main/Figure6_final.tiff,present,06fd47ca15dc26105fdf7eefdb9ded1ab536127a6accafe8ca92bf0f2cb3b976,true,
supplementary figures,structure,figures/supplementary_figures/Supplementary_Figure_S1_final_manual_assembled.pdf,present,526de027dd805c99911bf05b0187f11c9701704f78a50d08b57ed39bcbd718de,true,
supplementary figures,structure,figures/supplementary_figures/Supplementary_Figure_S2.pdf,present,6a8833201c0dc35351dbc555b0b871c2313df4562a892233a65620515d58ed2a,true,
supplementary figures,structure,figures/supplementary_figures/Supplementary_Figure_S3__phase2b_calibration_model2_1_3_5year.pdf,present,db2870517f3e241c24b57d3948e3989d6e9255027322394ee03d0e0cd701538a,true,
supplementary figures,structure,figures/supplementary_figures/Supplementary_Figure_S3__phase2b_DCA_3year_publication.pdf,present,5601d3f92d50efab83469500cbe0849c516dfa9dbbc8dcdd26729852423b71d1,true,
supplementary figures,structure,figures/supplementary_figures/Supplementary_Figure_S3__phase2b_forestplot_all_models_publication.pdf,present,65e3a9174985c1aee1483712e1ba1028ec1361cfa54047a966aeff25dfb1451b,true,
supplementary figures,structure,figures/supplementary_figures/Supplementary_Figure_S3__phase2b_nomogram_model2_publication.pdf,present,8c0337321dd62e924369d7bc166ff0ae03efdb6f60f50c7612517fe265daa76e,true,
supplementary figures,structure,figures/supplementary_figures/Supplementary_Figure_S4__phase3A_fix_external_validation_bubbleplot.pdf,present,1dceb7efd4f31ee6e19b813a82d2643b1ae976cc782819f0681cff413da3a038,true,
supplementary figures,structure,figures/supplementary_figures/Supplementary_Figure_S4__phase3A_fix_model_performance_heatmap.pdf,present,cfd4cb6a7e091872491a86f84577fa97ae90cc97064281fba39cfdb521f45156,true,
supplementary figures,structure,figures/supplementary_figures/Supplementary_Figure_S4__phase3A_fix_top20_model_ranking.pdf,present,a79dd7cbdbab53c5fcaca7f2a0278141ab5b6e1ed88be7a3291405dc19852005,true,
supplementary figures,structure,figures/supplementary_figures/Supplementary_Figure_S5__phase3A_PPI_external_validation_comparison.pdf,present,22916b280c52deaff31cf54cf3f79e45ff8d3b6b4419f0daa70c0898f16a4174,true,
supplementary figures,structure,figures/supplementary_figures/Supplementary_Figure_S5__phase3A_PPI_vs_original_6gene_comparison.pdf,present,7a070527cb5018b621d6f18224e6a99f3f520ac02573948140cedc3399f10893,true,
supplementary figures,structure,figures/supplementary_figures/Supplementary_Figure_S6__phase5_cytoHubba_like_ranking_heatmap.pdf,present,7ab5982e226132552b2bc9edbac69a25acddb4026e492eea845545649a4135c6,true,
supplementary figures,structure,figures/supplementary_figures/Supplementary_Figure_S6__phase5_PPI_hub_overlap_barplot.pdf,present,f1490b409f3de668038aa6facc6d73dc054a140da029bea8bd71c459507ea405,true,
supplementary figures,structure,figures/supplementary_figures/Supplementary_Figure_S6__phase5_PPI_network.pdf,present,2ad7ac1371287c1f950cbcb3664baa77ea6cf5a55ea54bf204c6a66b56250543,true,
supplementary figures,structure,figures/supplementary_figures/Supplementary_Figure_S7__phase3C_BeatAML_drug_category_heatmap.pdf,present,15888066e5b17487a9f4ecc015bde9bb8072d933df73e9da07c040f850535c04,true,
supplementary figures,structure,figures/supplementary_figures/Supplementary_Figure_S7__phase3C_BeatAML_selected_drug_scatterplots.pdf,present,ff5f8fdbc0789d982564598b2ad43d06786ad8eff2219af67e2b484e7e7f34f5,true,
supplementary figures,structure,figures/supplementary_figures/Supplementary_Figure_S7__phase3C_drug_response_ML_performance_heatmap.pdf,present,8dc7dbbacf233f992a5b668440625925c81006c14b53b8cc114bd28f50f520ef,true,
supplementary figures,structure,figures/supplementary_figures/Supplementary_Figure_S8__phase4_RoE_heatmap.pdf,present,9780859bff9af53bb4e07d8da1ed05b8dcfd3c772f4f3897a35a03040f00d5f3,true,
supplementary figures,structure,figures/supplementary_figures/Supplementary_Figure_S8__phase4_score_heatmap_by_celltype.pdf,present,795b2f9acfa05adf35a5c07f688c257de6b2e9fea198a84cb62edfe58712dd27,true,
supplementary figures,structure,figures/supplementary_figures/Supplementary_Figure_S8__phase4b_patient_level_score_boxplots.pdf,present,265afd5810ad23b54293b6dcb02c112ee59881ee19469db3a1816c8b297c9dea,true,
supplementary figures,structure,figures/supplementary_figures/Supplementary_Figure_S8__phase4b_PRFT_high_like_fraction_patient_level.pdf,present,f7651216dac583a5cbbb9ff897a45320166e18ce3d62ab149415fba796bb5174,true,
supplementary figures,structure,figures/supplementary_figures/Supplementary_Figure_S9__phase6_GSE14468_KM.pdf,present,8365550477af05ca23d574189efc037de1ed9b816aa49edbfcc1b1dc35fb1b9d,true,
supplementary figures,structure,figures/supplementary_figures/Supplementary_Figure_S9__phase6_GSE6891_KM.pdf,present,415a49d0ab09e7cbd7ffc332f14c2601bd8657d9f1df3ffa93c6067228273d8e,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S10__phase5_consensus_hub_genes.csv,present,4283f464477db7e2b17f3afd180a477acb046863cc53ab5d43eddb549d473f83,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S10__phase5_FS12_PPI_top20.csv,present,a3d80952990262b5533052484599f53f7c78ae4f92d52f991fd206f27a2e8db5,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S10_part1.csv,present,4283f464477db7e2b17f3afd180a477acb046863cc53ab5d43eddb549d473f83,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S10_part2.csv,present,a3d80952990262b5533052484599f53f7c78ae4f92d52f991fd206f27a2e8db5,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S11__phase3C_BeatAML_drug_correlation_all.csv,present,7302ee6a1bc29b110b0d241c951ad85874c63c439a416086ff1faafc72e89c60,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S11__phase3C_fix_main_vs_supplement_recommendation.csv,present,0b1bd500f35ac6c655bc06ec6ca4496d0cbb02248575fe67a975de75af51d4b8,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S11_part1.csv,present,7302ee6a1bc29b110b0d241c951ad85874c63c439a416086ff1faafc72e89c60,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S11_part2.csv,present,0b1bd500f35ac6c655bc06ec6ca4496d0cbb02248575fe67a975de75af51d4b8,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S12__phase4b_mixed_effect_models.csv,present,cbad236df7fb2aad13b562a04c28f8f65893297dc83800f6d37cffc8d05343a7,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S12__phase4b_patient_celltype_pseudobulk_scores.csv,present,f56db75777c66e1735f11f02d0bf46e24b9807921db34144add4d5bfd63ea168,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S12_part1.csv,present,f56db75777c66e1735f11f02d0bf46e24b9807921db34144add4d5bfd63ea168,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S12_part2.csv,present,cbad236df7fb2aad13b562a04c28f8f65893297dc83800f6d37cffc8d05343a7,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S13__phase7_cleanup_main_signature_pathway_summary.csv,present,c5e9c9e702109adf3fd17e1167c122097f875296b99f111545979c4ad9081dd6,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S13__phase7_pathway_cross_cohort_consistency.csv,present,0d6d4ebe1e210955ba6acc4950eed723fe21115a8fc4b8acefab0493891eab8d,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S13_part1.csv,present,c5e9c9e702109adf3fd17e1167c122097f875296b99f111545979c4ad9081dd6,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S13_part2.csv,present,0d6d4ebe1e210955ba6acc4950eed723fe21115a8fc4b8acefab0493891eab8d,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S14.csv,present,0729dbcfbd7f2716992efcc5ea559cad7b6a30373dacf8fed187b00f4c040cb0,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S14__phase6_external_validation_interpretation.csv,present,0729dbcfbd7f2716992efcc5ea559cad7b6a30373dacf8fed187b00f4c040cb0,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S15__phase8A_AS_candidate_file_classification.csv,present,00484ae44f3fc693bb0ae9c0f68c2bb8f3ace19bd7cf03de04ac7958a56f93c3,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S15__phase8A_AS_feasibility_report.csv,present,0b6ceec40af886e451f5b46c9f9e15273777e3ed10ee9a51cbd858201aa35c6c,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S15_part1.csv,present,0b6ceec40af886e451f5b46c9f9e15273777e3ed10ee9a51cbd858201aa35c6c,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S15_part2.csv,present,00484ae44f3fc693bb0ae9c0f68c2bb8f3ace19bd7cf03de04ac7958a56f93c3,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S1__phase1_fix_sample_flow.csv,present,261a984d670f35092be8dabcb04abf20eb312f80481e65f130250a326fb8ca46,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S1__phase3C_BeatAML_sample_flow.csv,present,f95707f50b19d8cd9e7cd3a23f256aa868ec5282376753eecf3fefa0d8f6f784,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S1_part1.csv,present,261a984d670f35092be8dabcb04abf20eb312f80481e65f130250a326fb8ca46,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S1_part2.csv,present,f95707f50b19d8cd9e7cd3a23f256aa868ec5282376753eecf3fefa0d8f6f784,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S2.csv,present,accd9226fd4bb56c3dbf35d7124ea97c716fec22cd83292dfef087555383d890,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S2__phase7_gene_sets_used.csv,present,accd9226fd4bb56c3dbf35d7124ea97c716fec22cd83292dfef087555383d890,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S3__phase1_DEG.csv,present,c2518b39035387caa1fa94523a50b67b35ddbdc31f8ed65680f6a693823fb627,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S3__phase1_fix_WGCNA_modules.csv,present,20e7bdb15ec399ee7942ecc008aaf17c900ec2f033310ca92b3983c5f7ab819b,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S3_part1.csv,present,c2518b39035387caa1fa94523a50b67b35ddbdc31f8ed65680f6a693823fb627,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S3_part2.csv,present,20e7bdb15ec399ee7942ecc008aaf17c900ec2f033310ca92b3983c5f7ab819b,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S4.csv,present,8b8139b08f54650f307a27cb710a8f9ba2a1e588f1df015221bb5ab0edfe5d06,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S4__phase1_fix_715_candidates.csv,present,8b8139b08f54650f307a27cb710a8f9ba2a1e588f1df015221bb5ab0edfe5d06,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S5.csv,present,9f59321ec617f6f9fd5bb244e7a73177581ee062b9b4f521d61c0150a2ad44c2,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S5__phase1_33_candidates.csv,present,9f59321ec617f6f9fd5bb244e7a73177581ee062b9b4f521d61c0150a2ad44c2,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S6__phase1_risk_score_formula.txt,present,4aeda99c937be11a5038c6296e01b98a9c226d0019a54058814d2be3332cdcaf,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S6__phase1_six_gene_coefficients.csv,present,26b657df9184befbd2355e09a7bcee17bc3e0bf29e3678068093f77720e5e684,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S6_part1.csv,present,26b657df9184befbd2355e09a7bcee17bc3e0bf29e3678068093f77720e5e684,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S6_part2.txt,present,4aeda99c937be11a5038c6296e01b98a9c226d0019a54058814d2be3332cdcaf,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S7__phase2_multivariable_cox_models.csv,present,10db115239f56be7829c72beeaca9e8893032747e7e22a8c764869c74165a917,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S7__phase2_univariate_clinical_cox.csv,present,851121282a5a62df106fa5349b4b8aba0e48e1fccf7bcaa4986859f8e730d9fd,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S7_part1.csv,present,10db115239f56be7829c72beeaca9e8893032747e7e22a8c764869c74165a917,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S7_part2.csv,present,851121282a5a62df106fa5349b4b8aba0e48e1fccf7bcaa4986859f8e730d9fd,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S8.csv,present,e0411aeafd675ee9fbdc6fe3fde0ca1716f285bc06d9118091fcbfef3ed1c8e1,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S8__phase3A_fix_model_ranking_composite_score.csv,present,e0411aeafd675ee9fbdc6fe3fde0ca1716f285bc06d9118091fcbfef3ed1c8e1,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S9.csv,present,c114ce0cef45057d041202cef41bc98aa3166d5cca93551765274fda0bc5d7d7,true,
supplementary tables,structure,supplementary_tables/Supplementary_Table_S9__phase3B_fix_SHAP_or_importance_top_features.csv,present,c114ce0cef45057d041202cef41bc98aa3166d5cca93551765274fda0bc5d7d7,true,
metadata,structure,metadata/code_manifest.csv,present,f577aa7695028e513cce87bd86629d184cd62b75ec4f20602fd62ec8a64f1afa,true,
metadata,structure,metadata/code_manifest__dup2.csv,present,ee3ef79ab0dcd904949b9229cb8890fa59f130dc2e19141e526852c4381fba86,true,
metadata,structure,metadata/code_manifest__dup3.csv,present,862d4842340bb52475f2ca77045ee697fad08f8aac898ea789528aa2b0d1fe70,true,
metadata,structure,metadata/data_dictionary.csv,present,11e75267fd4c2648aeb1b840df4f573a32269865b5f6fa394e3236e71e8439c7,true,
metadata,structure,metadata/data_dictionary__dup2.csv,present,56d2af9bebbdd1665513010098eaf1589dfbb131080d946fad98d1327effeffd,true,
metadata,structure,metadata/final_file_manifest.csv,present,d9f57fc7b174dd7a2b91c9da27947ea0aabb26c0d98a7440788f289a77d5a4f8,true,
metadata,structure,metadata/Package_version_verification_Phase27I.csv,present,deb736deb96b2cf4bde6c48009b69cffd0bd6cea4aeef5b26764c3b93fe345c0,true,
metadata,structure,metadata/public_repo_candidate_v2_CHANGELOG.md,present,2d43e8b44ca05d263bd1d35a31d9d0d032a81d99aa948495a57f723739032e4e,true,
metadata,structure,metadata/repository_manifest.csv,present,328b0390efe21656255252e2fb7fb1390508bc088a1d861e4e19e22e9f8c4319,true,
